id,CODCIE10,DescripcionCIE10,Grupo
13076,Y115,"ENVENENAMIENTO POR, Y EXPOSICION A DROGAS ANTIEPILEPTICAS, SEDANTES, HIPNOTICAS, ANTIPARKINSONIANAS Y PSICOTROPICAS, NO CLASIFICADAS EN OTRA PARTE, DE INTENCION NO DETERMINADA: COMERCIO Y AREA DE SERVICIOS",Causas externas de morbilidad y de mortalidad
13077,Y116,"ENVENENAMIENTO POR, Y EXPOSICION A DROGAS ANTIEPILEPTICAS, SEDANTES, HIPNOTICAS, ANTIPARKINSONIANAS Y PSICOTROPICAS, NO CLASIFICADAS EN OTRA PARTE, DE INTENCION NO DETERMINADA: AREA INDUSTRIAL Y DE LA CONSTRUCCION",Causas externas de morbilidad y de mortalidad
13078,Y117,"ENVENENAMIENTO POR, Y EXPOSICION A DROGAS ANTIEPILEPTICAS, SEDANTES, HIPNOTICAS, ANTIPARKINSONIANAS Y PSICOTROPICAS, NO CLASIFICADAS EN OTRA PARTE, DE INTENCION NO DETERMINADA: GRANJA",Causas externas de morbilidad y de mortalidad
13079,Y118,"ENVENENAMIENTO POR, Y EXPOSICION A DROGAS ANTIEPILEPTICAS, SEDANTES, HIPNOTICAS, ANTIPARKINSONIANAS Y PSICOTROPICAS, NO CLASIFICADAS EN OTRA PARTE, DE INTENCION NO DETERMINADA: OTRO LUGAR ESPECIFICADO",Causas externas de morbilidad y de mortalidad
13080,Y119,"ENVENENAMIENTO POR, Y EXPOSICION A DROGAS ANTIEPILEPTICAS, SEDANTES, HIPNOTICAS, ANTIPARKINSONIANAS Y PSICOTROPICAS, NO CLASIFICADAS EN OTRA PARTE, DE INTENCION NO DETERMINADA: LUGAR NO ESPECIFICADO",Causas externas de morbilidad y de mortalidad
13081,Y12,"ENVENENAMIENTO POR, Y EXPOSICION A NARCOTICOS Y PSICODISLEPTICOS [ALUCINOGENOS], NO CLASIFICADAS EN OTRA PARTE, DE INTENCION NO DETERMINADA",Causas externas de morbilidad y de mortalidad
13082,Y120,"ENVENENAMIENTO POR, Y EXPOSICION A NARCOTICOS Y PSICODISLEPTICOS [ALUCINOGENOS], NO CLASIFICADAS EN OTRA PARTE, DE INTENCION NO DETERMINADA: VIVIENDA",Causas externas de morbilidad y de mortalidad
13083,Y121,"ENVENENAMIENTO POR, Y EXPOSICION A NARCOTICOS Y PSICODISLEPTICOS [ALUCINOGENOS], NO CLASIFICADAS EN OTRA PARTE, DE INTENCION NO DETERMINADA: INSTITUCION RESIDENCIAL",Causas externas de morbilidad y de mortalidad
13084,Y122,"ENVENENAMIENTO POR, Y EXPOSICION A NARCOTICOS Y PSICODISLEPTICOS [ALUCINOGENOS], NO CLASIFICADAS EN OTRA PARTE, DE INTENCION NO DETERMINADA: ESCUELAS OTRAS INSTITUCIONES Y AREAS ADMINISTRATIVAS",Causas externas de morbilidad y de mortalidad
13085,Y123,"ENVENENAMIENTO POR, Y EXPOSICION A NARCOTICOS Y PSICODISLEPTICOS [ALUCINOGENOS], NO CLASIFICADAS EN OTRA PARTE, DE INTENCION NO DETERMINADA: AREAS DE DEPORTE Y ATLETISMO",Causas externas de morbilidad y de mortalidad
13086,Y124,"ENVENENAMIENTO POR, Y EXPOSICION A NARCOTICOS Y PSICODISLEPTICOS [ALUCINOGENOS], NO CLASIFICADAS EN OTRA PARTE, DE INTENCION NO DETERMINADA: CALLES Y CARRETERAS",Causas externas de morbilidad y de mortalidad
13087,Y125,"ENVENENAMIENTO POR, Y EXPOSICION A NARCOTICOS Y PSICODISLEPTICOS [ALUCINOGENOS], NO CLASIFICADAS EN OTRA PARTE, DE INTENCION NO DETERMINADA: COMERCIO Y AREA DE SERVICIOS",Causas externas de morbilidad y de mortalidad
13088,Y126,"ENVENENAMIENTO POR, Y EXPOSICION A NARCOTICOS Y PSICODISLEPTICOS [ALUCINOGENOS], NO CLASIFICADAS EN OTRA PARTE, DE INTENCION NO DETERMINADA: AREA INDUSTRIAL Y DE LA CONSTRUCCION",Causas externas de morbilidad y de mortalidad
13089,Y127,"ENVENENAMIENTO POR, Y EXPOSICION A NARCOTICOS Y PSICODISLEPTICOS [ALUCINOGENOS], NO CLASIFICADAS EN OTRA PARTE, DE INTENCION NO DETERMINADA: GRANJA",Causas externas de morbilidad y de mortalidad
13090,Y128,"ENVENENAMIENTO POR, Y EXPOSICION A NARCOTICOS Y PSICODISLEPTICOS [ALUCINOGENOS], NO CLASIFICADAS EN OTRA PARTE, DE INTENCION NO DETERMINADA: OTRO LUGAR ESPECIFICADO",Causas externas de morbilidad y de mortalidad
13091,Y129,"ENVENENAMIENTO POR, Y EXPOSICION A NARCOTICOS Y PSICODISLEPTICOS [ALUCINOGENOS], NO CLASIFICADAS EN OTRA PARTE, DE INTENCION NO DETERMINADA: LUGAR NO ESPECIFICADO",Causas externas de morbilidad y de mortalidad
13092,Y13,"ENVENENAMIENTO POR, Y EXPOSICION A OTRAS DROGAS QUE ACTUAN SOBRE EL SISTEMA NERVIOSO AUTONOMO, DE INTENCION NO DETERMINADA",Causas externas de morbilidad y de mortalidad
13093,Y130,"ENVENENAMIENTO POR, Y EXPOSICION A OTRAS DROGAS QUE ACTUAN SOBRE EL SISTEMA NERVIOSO AUTONOMO, DE INTENCION NO DETERMINADA: VIVIENDA",Causas externas de morbilidad y de mortalidad
13094,Y131,"ENVENENAMIENTO POR, Y EXPOSICION A OTRAS DROGAS QUE ACTUAN SOBRE EL SISTEMA NERVIOSO AUTONOMO, DE INTENCION NO DETERMINADA: INSTITUCION RESIDENCIAL",Causas externas de morbilidad y de mortalidad
13095,Y132,"ENVENENAMIENTO POR, Y EXPOSICION A OTRAS DROGAS QUE ACTUAN SOBRE EL SISTEMA NERVIOSO AUTONOMO, DE INTENCION NO DETERMINADA: ESCUELAS OTRAS INSTITUCIONES Y AREAS ADMINISTRATIVAS",Causas externas de morbilidad y de mortalidad
13096,Y133,"ENVENENAMIENTO POR, Y EXPOSICION A OTRAS DROGAS QUE ACTUAN SOBRE EL SISTEMA NERVIOSO AUTONOMO, DE INTENCION NO DETERMINADA: AREAS DE DEPORTE Y ATLETISMO",Causas externas de morbilidad y de mortalidad
13097,Y134,"ENVENENAMIENTO POR, Y EXPOSICION A OTRAS DROGAS QUE ACTUAN SOBRE EL SISTEMA NERVIOSO AUTONOMO, DE INTENCION NO DETERMINADA: CALLES Y CARRETERAS",Causas externas de morbilidad y de mortalidad
13098,Y135,"ENVENENAMIENTO POR, Y EXPOSICION A OTRAS DROGAS QUE ACTUAN SOBRE EL SISTEMA NERVIOSO AUTONOMO, DE INTENCION NO DETERMINADA: COMERCIO Y AREA DE SERVICIOS",Causas externas de morbilidad y de mortalidad
13099,Y136,"ENVENENAMIENTO POR, Y EXPOSICION A OTRAS DROGAS QUE ACTUAN SOBRE EL SISTEMA NERVIOSO AUTONOMO, DE INTENCION NO DETERMINADA: AREA INDUSTRIAL Y DE LA CONSTRUCCION",Causas externas de morbilidad y de mortalidad
13100,Y137,"ENVENENAMIENTO POR, Y EXPOSICION A OTRAS DROGAS QUE ACTUAN SOBRE EL SISTEMA NERVIOSO AUTONOMO, DE INTENCION NO DETERMINADA: GRANJA",Causas externas de morbilidad y de mortalidad
13101,Y138,"ENVENENAMIENTO POR, Y EXPOSICION A OTRAS DROGAS QUE ACTUAN SOBRE EL SISTEMA NERVIOSO AUTONOMO, DE INTENCION NO DETERMINADA: OTRO LUGAR ESPECIFICADO",Causas externas de morbilidad y de mortalidad
13102,Y139,"ENVENENAMIENTO POR, Y EXPOSICION A OTRAS DROGAS QUE ACTUAN SOBRE EL SISTEMA NERVIOSO AUTONOMO, DE INTENCION NO DETERMINADA: LUGAR NO ESPECIFICADO",Causas externas de morbilidad y de mortalidad
13103,Y14,"ENVENENAMIENTO POR, Y EXPOSICION A OTRAS DROGAS, MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS, Y LAS NO ESPECIFICADAS, DE INTENCION NO DETERMINADA",Causas externas de morbilidad y de mortalidad
13104,Y140,"ENVENENAMIENTO POR, Y EXPOSICION A OTRAS DROGAS, MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS, Y LAS NO ESPECIFICADAS, DE INTENCION NO DETERMINADA: VIVIENDA",Causas externas de morbilidad y de mortalidad
13105,Y141,"ENVENENAMIENTO POR, Y EXPOSICION A OTRAS DROGAS, MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS, Y LAS NO ESPECIFICADAS, DE INTENCION NO DETERMINADA: INSTITUCION RESIDENCIAL",Causas externas de morbilidad y de mortalidad
13106,Y142,"ENVENENAMIENTO POR, Y EXPOSICION A OTRAS DROGAS, MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS, Y LAS NO ESPECIFICADAS, DE INTENCION NO DETERMINADA: ESCUELAS OTRAS INSTITUCIONES Y AREAS ADMINISTRATIVAS",Causas externas de morbilidad y de mortalidad
13107,Y143,"ENVENENAMIENTO POR, Y EXPOSICION A OTRAS DROGAS, MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS, Y LAS NO ESPECIFICADAS, DE INTENCION NO DETERMINADA: AREAS DE DEPORTE Y ATLETISMO",Causas externas de morbilidad y de mortalidad
13108,Y144,"ENVENENAMIENTO POR, Y EXPOSICION A OTRAS DROGAS, MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS, Y LAS NO ESPECIFICADAS, DE INTENCION NO DETERMINADA: CALLES Y CARRETERAS",Causas externas de morbilidad y de mortalidad
13109,Y145,"ENVENENAMIENTO POR, Y EXPOSICION A OTRAS DROGAS, MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS, Y LAS NO ESPECIFICADAS, DE INTENCION NO DETERMINADA: COMERCIO Y AREA DE SERVICIOS",Causas externas de morbilidad y de mortalidad
13110,Y146,"ENVENENAMIENTO POR, Y EXPOSICION A OTRAS DROGAS, MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS, Y LAS NO ESPECIFICADAS, DE INTENCION NO DETERMINADA: AREA INDUSTRIAL Y DE LA CONSTRUCCION",Causas externas de morbilidad y de mortalidad
13111,Y147,"ENVENENAMIENTO POR, Y EXPOSICION A OTRAS DROGAS, MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS, Y LAS NO ESPECIFICADAS, DE INTENCION NO DETERMINADA: GRANJA",Causas externas de morbilidad y de mortalidad
13112,Y148,"ENVENENAMIENTO POR, Y EXPOSICION A OTRAS DROGAS, MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS, Y LAS NO ESPECIFICADAS, DE INTENCION NO DETERMINADA: OTRO LUGAR ESPECIFICADO",Causas externas de morbilidad y de mortalidad
13113,Y149,"ENVENENAMIENTO POR, Y EXPOSICION A OTRAS DROGAS, MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS, Y LAS NO ESPECIFICADAS, DE INTENCION NO DETERMINADA: LUGAR NO ESPECIFICADO",Causas externas de morbilidad y de mortalidad
13114,Y15,"ENVENENAMIENTO POR, Y EXPOSICION AL ALCOHOL INTENCION NO DETERMINADA",Causas externas de morbilidad y de mortalidad
13115,Y150,"ENVENENAMIENTO POR, Y EXPOSICION AL ALCOHOL , DE INTENCION NO DETERMINADA: VIVIENDA",Causas externas de morbilidad y de mortalidad
13116,Y151,"ENVENENAMIENTO POR, Y EXPOSICION AL ALCOHOL , DE INTENCION NO DETERMINADA: INSTITUCION RESIDENCIAL",Causas externas de morbilidad y de mortalidad
13117,Y152,"ENVENENAMIENTO POR, Y EXPOSICION AL ALCOHOL , DE INTENCION NO DETERMINADA: ESCUELAS OTRAS INSTITUCIONES Y AREAS ADMINISTRATIVAS",Causas externas de morbilidad y de mortalidad
13118,Y153,"ENVENENAMIENTO POR, Y EXPOSICION AL ALCOHOL , DE INTENCION NO DETERMINADA: AREAS DE DEPORTE Y ATLETISMO",Causas externas de morbilidad y de mortalidad
13119,Y154,"ENVENENAMIENTO POR, Y EXPOSICION AL ALCOHOL , DE INTENCION NO DETERMINADA: CALLES Y CARRETERAS",Causas externas de morbilidad y de mortalidad
13120,Y155,"ENVENENAMIENTO POR, Y EXPOSICION AL ALCOHOL , DE INTENCION NO DETERMINADA: COMERCIO Y AREA DE SERVICIOS",Causas externas de morbilidad y de mortalidad
13121,Y156,"ENVENENAMIENTO POR, Y EXPOSICION AL ALCOHOL , DE INTENCION NO DETERMINADA: AREA INDUSTRIAL Y DE LA CONSTRUCCION",Causas externas de morbilidad y de mortalidad
13122,Y157,"ENVENENAMIENTO POR, Y EXPOSICION AL ALCOHOL , DE INTENCION NO DETERMINADA: GRANJA",Causas externas de morbilidad y de mortalidad
13123,Y158,"ENVENENAMIENTO POR, Y EXPOSICION AL ALCOHOL , DE INTENCION NO DETERMINADA: OTRO LUGAR ESPECIFICADO",Causas externas de morbilidad y de mortalidad
13124,Y159,"ENVENENAMIENTO POR, Y EXPOSICION AL ALCOHOL , DE INTENCION NO DETERMINADA: LUGAR NO ESPECIFICADO",Causas externas de morbilidad y de mortalidad
13125,Y16,"ENVENENAMIENTO POR, Y EXPOSICION A DISOLVENTES ORGANICOS E HIDROCARBUROS HALOGENADOS Y SUS VAPORES, DE INTENCION NO DETERMINADA",Causas externas de morbilidad y de mortalidad
13126,Y160,"ENVENENAMIENTO POR, Y EXPOSICION A DISOLVENTES ORGANICOS E HIDROCARBUROS HALOGENADOS Y SUS VAPORES, DE INTENCION NO DETERMINADA: VIVIENDA",Causas externas de morbilidad y de mortalidad
13127,Y161,"ENVENENAMIENTO POR, Y EXPOSICION A DISOLVENTES ORGANICOS E HIDROCARBUROS HALOGENADOS Y SUS VAPORES, DE INTENCION NO DETERMINADA: INSTITUCION RESIDENCIAL",Causas externas de morbilidad y de mortalidad
13128,Y162,"ENVENENAMIENTO POR, Y EXPOSICION A DISOLVENTES ORGANICOS E HIDROCARBUROS HALOGENADOS Y SUS VAPORES, DE INTENCION NO DETERMINADA: ESCUELAS, OTRAS INSTITUCIONES Y AREAS ADMINISTRATIVAS",Causas externas de morbilidad y de mortalidad
13129,Y163,"ENVENENAMIENTO POR, Y EXPOSICION A DISOLVENTES ORGANICOS E HIDROCARBUROS HALOGENADOS Y SUS VAPORES, DE INTENCION NO DETERMINADA: AREAS DE DEPORTE Y ATLETISMO",Causas externas de morbilidad y de mortalidad
13130,Y164,"ENVENENAMIENTO POR, Y EXPOSICION A DISOLVENTES ORGANICOS E HIDROCARBUROS HALOGENADOS Y SUS VAPORES, DE INTENCION NO DETERMINADA: CALLES Y CARRETERAS",Causas externas de morbilidad y de mortalidad
13131,Y165,"ENVENENAMIENTO POR, Y EXPOSICION A DISOLVENTES ORGANICOS E HIDROCARBUROS HALOGENADOS Y SUS VAPORES, DE INTENCION NO DETERMINADA: COMERCIO Y AREA DE SERVICIOS",Causas externas de morbilidad y de mortalidad
13132,Y166,"ENVENENAMIENTO POR, Y EXPOSICION A DISOLVENTES ORGANICOS E HIDROCARBUROS HALOGENADOS Y SUS VAPORES, DE INTENCION NO DETERMINADA: AREA INDUSTRIAL Y DE LA CONSTRUCCION",Causas externas de morbilidad y de mortalidad
13133,Y167,"ENVENENAMIENTO POR, Y EXPOSICION A DISOLVENTES ORGANICOS E HIDROCARBUROS HALOGENADOS Y SUS VAPORES, DE INTENCION NO DETERMINADA: GRANJA",Causas externas de morbilidad y de mortalidad
13134,Y168,"ENVENENAMIENTO POR, Y EXPOSICION A DISOLVENTES ORGANICOS E HIDROCARBUROS HALOGENADOS Y SUS VAPORES, DE INTENCION NO DETERMINADA: OTRO LUGAR ESPECIFICADO",Causas externas de morbilidad y de mortalidad
13135,Y169,"ENVENENAMIENTO POR, Y EXPOSICION A DISOLVENTES ORGANICOS E HIDROCARBUROS HALOGENADOS Y SUS VAPORES, DE INTENCION NO DETERMINADA: LUGAR NO ESPECIFICADO",Causas externas de morbilidad y de mortalidad
13136,Y17,"ENVENENAMIENTO POR, Y EXPOSICION A OTROS GASES Y VAPORES, DE INTENCION NO DETERMINADA",Causas externas de morbilidad y de mortalidad
13137,Y170,"ENVENENAMIENTO POR, Y EXPOSICION A OTROS GASES Y VAPORES, DE INTENCION NO DETERMINADA: VIVIENDA",Causas externas de morbilidad y de mortalidad
13138,Y171,"ENVENENAMIENTO POR, Y EXPOSICION A OTROS GASES Y VAPORES, DE INTENCION NO DETERMINADA: INSTITUCION RESIDENCIAL",Causas externas de morbilidad y de mortalidad
13139,Y172,"ENVENENAMIENTO POR, Y EXPOSICION A OTROS GASES Y VAPORES, DE INTENCION NO DETERMINADA: ESCUELAS, OTRAS INSTITUCIONES Y AREAS ADMINISTRATIVAS",Causas externas de morbilidad y de mortalidad
13140,Y173,"ENVENENAMIENTO POR, Y EXPOSICION A OTROS GASES Y VAPORES, DE INTENCION NO DETERMINADA: AREAS DE DEPORTE Y ATLETISMO",Causas externas de morbilidad y de mortalidad
13141,Y174,"ENVENENAMIENTO POR, Y EXPOSICION A OTROS GASES Y VAPORES, DE INTENCION NO DETERMINADA: CALLES Y CARRETERAS",Causas externas de morbilidad y de mortalidad
13142,Y175,"ENVENENAMIENTO POR, Y EXPOSICION A OTROS GASES Y VAPORES, DE INTENCION NO DETERMINADA: COMERCIO Y AREA DE SERVICIOS",Causas externas de morbilidad y de mortalidad
13143,Y176,"ENVENENAMIENTO POR, Y EXPOSICION A OTROS GASES Y VAPORES, DE INTENCION NO DETERMINADA: AREA INDUSTRIAL Y DE LA CONSTRUCCION",Causas externas de morbilidad y de mortalidad
13144,Y177,"ENVENENAMIENTO POR, Y EXPOSICION A OTROS GASES Y VAPORES, DE INTENCION NO DETERMINADA: GRANJA",Causas externas de morbilidad y de mortalidad
13145,Y178,"ENVENENAMIENTO POR, Y EXPOSICION A OTROS GASES Y VAPORES, DE INTENCION NO DETERMINADA: OTRO LUGAR ESPECIFICADO",Causas externas de morbilidad y de mortalidad
13146,Y179,"ENVENENAMIENTO POR, Y EXPOSICION A OTROS GASES Y VAPORES, DE INTENCION NO DETERMINADA: LUGAR NO ESPECIFICADO",Causas externas de morbilidad y de mortalidad
13147,Y18,"ENVENENAMIENTO POR, Y EXPOSICION A PLAGUICIDAS DE INTENCION NO DETERMINADA",Causas externas de morbilidad y de mortalidad
13148,Y180,"ENVENENAMIENTO POR, Y EXPOSICION A PLAGUICIDAS, DE INTENCION NO DETERMINADA: VIVIENDA",Causas externas de morbilidad y de mortalidad
13149,Y181,"ENVENENAMIENTO POR, Y EXPOSICION A PLAGUICIDAS, DE INTENCION NO DETERMINADA: INSTITUCION RESIDENCIAL",Causas externas de morbilidad y de mortalidad
13150,Y182,"ENVENENAMIENTO POR, Y EXPOSICION A PLAGUICIDAS, DE INTENCION NO DETERMINADA: ESCUELAS OTRAS INSTITUCIONES Y AREAS ADMINISTRATIVAS",Causas externas de morbilidad y de mortalidad
13151,Y183,"ENVENENAMIENTO POR, Y EXPOSICION A PLAGUICIDAS, DE INTENCION NO DETERMINADA: AREAS DE DEPORTE Y ATLETISMO",Causas externas de morbilidad y de mortalidad
13152,Y184,"ENVENENAMIENTO POR, Y EXPOSICION A PLAGUICIDAS, DE INTENCION NO DETERMINADA: CALLES Y CARRETERAS",Causas externas de morbilidad y de mortalidad
13153,Y185,"ENVENENAMIENTO POR, Y EXPOSICION A PLAGUICIDAS, DE INTENCION NO DETERMINADA: COMERCIO Y AREA DE SERVICIOS",Causas externas de morbilidad y de mortalidad
13154,Y186,"ENVENENAMIENTO POR, Y EXPOSICION A PLAGUICIDAS, DE INTENCION NO DETERMINADA: AREA INDUSTRIAL Y DE LA CONSTRUCCION",Causas externas de morbilidad y de mortalidad
13155,Y187,"ENVENENAMIENTO POR, Y EXPOSICION A PLAGUICIDAS, DE INTENCION NO DETERMINADA: GRANJA",Causas externas de morbilidad y de mortalidad
13156,Y188,"ENVENENAMIENTO POR, Y EXPOSICION A PLAGUICIDAS, DE INTENCION NO DETERMINADA: OTRO LUGAR ESPECIFICADO",Causas externas de morbilidad y de mortalidad
13157,Y189,"ENVENENAMIENTO POR, Y EXPOSICION A PLAGUICIDAS, DE INTENCION NO DETERMINADA: LUGAR NO ESPECIFICADO",Causas externas de morbilidad y de mortalidad
13158,Y19,"ENVENENAMIENTO POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCIVAS, Y LOS NO ESPECIFICADOS, DE INTENCION NO DETERMINADA",Causas externas de morbilidad y de mortalidad
13159,Y190,"ENVENENAMIENTO POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCIVAS, Y LOS NO ESPECIFICADOS, DE INTENCION NO DETERMINADA: VIVIENDA",Causas externas de morbilidad y de mortalidad
13160,Y191,"ENVENENAMIENTO POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCIVAS, Y LOS NO ESPECIFICADOS, DE INTENCION NO DETERMINADA: INSTITUCION RESIDENCIAL",Causas externas de morbilidad y de mortalidad
13161,Y192,"ENVENENAMIENTO POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCIVAS, Y LOS NO ESPECIFICADOS, DE INTENCION NO DETERMINADA: ESCUELAS OTRAS INSTITUCIONES Y AREAS ADMINISTRATIVAS",Causas externas de morbilidad y de mortalidad
13162,Y193,"ENVENENAMIENTO POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCIVAS, Y LOS NO ESPECIFICADOS, DE INTENCION NO DETERMINADA: AREAS DE DEPORTE Y ATLETISMO",Causas externas de morbilidad y de mortalidad
13163,Y194,"ENVENENAMIENTO POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCIVAS, Y LOS NO ESPECIFICADOS, DE INTENCION NO DETERMINADA: CALLES Y CARRETERAS",Causas externas de morbilidad y de mortalidad
13164,Y195,"ENVENENAMIENTO POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCIVAS, Y LOS NO ESPECIFICADOS, DE INTENCION NO DETERMINADA: COMERCIO Y AREA DE SERVICIOS",Causas externas de morbilidad y de mortalidad
13165,Y196,"ENVENENAMIENTO POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCIVAS, Y LOS NO ESPECIFICADOS, DE INTENCION NO DETERMINADA: AREA INDUSTRIAL Y DE LA CONSTRUCCION",Causas externas de morbilidad y de mortalidad
13166,Y197,"ENVENENAMIENTO POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCIVAS, Y LOS NO ESPECIFICADOS, DE INTENCION NO DETERMINADA: GRANJA",Causas externas de morbilidad y de mortalidad
13167,Y198,"ENVENENAMIENTO POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCIVAS, Y LOS NO ESPECIFICADOS, DE INTENCION NO DETERMINADA: OTRO LUGAR ESPECIFICADO",Causas externas de morbilidad y de mortalidad
13168,Y199,"ENVENENAMIENTO POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCIVAS, Y LOS NO ESPECIFICADOS, DE INTENCION NO DETERMINADA: LUGAR NO ESPECIFICADO",Causas externas de morbilidad y de mortalidad
13169,Y20,"AHORCAMIENTO, ESTRANGULAMIENTO Y SOFOCACION, DE INTENCION NO DETERMINADA",Causas externas de morbilidad y de mortalidad
13170,Y200,"AHORCAMIENTO, ESTRANGULAMIENTO Y SOFOCACION, DE INTENCION NO DETERMINADA: VIVIENDA",Causas externas de morbilidad y de mortalidad
13171,Y201,"AHORCAMIENTO, ESTRANGULAMIENTO Y SOFOCACION, DE INTENCION NO DETERMINADA: INSTITUCION RESIDENCIAL",Causas externas de morbilidad y de mortalidad
13172,Y202,"AHORCAMIENTO, ESTRANGULAMIENTO Y SOFOCACION, DE INTENCION NO DETERMINADA: ESCUELAS OTRAS INSTITUCIONES Y AREAS ADMINISTRATIVAS",Causas externas de morbilidad y de mortalidad
13173,Y203,"AHORCAMIENTO, ESTRANGULAMIENTO Y SOFOCACION, DE INTENCION NO DETERMINADA: AREAS DE DEPORTE Y ATLETISMO",Causas externas de morbilidad y de mortalidad
13174,Y204,"AHORCAMIENTO, ESTRANGULAMIENTO Y SOFOCACION, DE INTENCION NO DETERMINADA: CALLES Y CARRETERAS",Causas externas de morbilidad y de mortalidad
13175,Y205,"AHORCAMIENTO, ESTRANGULAMIENTO Y SOFOCACION, DE INTENCION NO DETERMINADA: COMERCIO Y AREA DE SERVICIOS",Causas externas de morbilidad y de mortalidad
13176,Y206,"AHORCAMIENTO, ESTRANGULAMIENTO Y SOFOCACION, DE INTENCION NO DETERMINADA: AREA INDUSTRIAL Y DE LA CONSTRUCCION",Causas externas de morbilidad y de mortalidad
13177,Y207,"AHORCAMIENTO, ESTRANGULAMIENTO Y SOFOCACION, DE INTENCION NO DETERMINADA: GRANJA",Causas externas de morbilidad y de mortalidad
13178,Y208,"AHORCAMIENTO, ESTRANGULAMIENTO Y SOFOCACION, DE INTENCION NO DETERMINADA: OTRO LUGAR ESPECIFICADO",Causas externas de morbilidad y de mortalidad
13179,Y209,"AHORCAMIENTO, ESTRANGULAMIENTO Y SOFOCACION, DE INTENCION NO DETERMINADA: LUGAR NO ESPECIFICADO",Causas externas de morbilidad y de mortalidad
13180,Y21,AHOGAMIENTO Y SUMERSION DE INTENCION NO DETERMINADA,Causas externas de morbilidad y de mortalidad
13181,Y210,"AHOGAMIENTO Y SUMERSION, DE INTENCION NO DETERMINADA: VIVIENDA",Causas externas de morbilidad y de mortalidad
13182,Y211,"AHOGAMIENTO Y SUMERSION, DE INTENCION NO DETERMINADA: INSTITUCION RESIDENCIAL",Causas externas de morbilidad y de mortalidad
13183,Y212,"AHOGAMIENTO Y SUMERSION, DE INTENCION NO DETERMINADA: ESCUELAS OTRAS INSTITUCIONES Y AREAS ADMINISTRATIVAS",Causas externas de morbilidad y de mortalidad
13184,Y213,"AHOGAMIENTO Y SUMERSION, DE INTENCION NO DETERMINADA: AREAS DE DEPORTE Y ATLETISMO",Causas externas de morbilidad y de mortalidad
13185,Y214,"AHOGAMIENTO Y SUMERSION, DE INTENCION NO DETERMINADA: CALLES Y CARRETERAS",Causas externas de morbilidad y de mortalidad
13186,Y215,"AHOGAMIENTO Y SUMERSION, DE INTENCION NO DETERMINADA: COMERCIO Y AREA DE SERVICIOS",Causas externas de morbilidad y de mortalidad
13187,Y216,"AHOGAMIENTO Y SUMERSION, DE INTENCION NO DETERMINADA: AREA INDUSTRIAL Y DE LA CONSTRUCCION",Causas externas de morbilidad y de mortalidad
13188,Y217,"AHOGAMIENTO Y SUMERSION, DE INTENCION NO DETERMINADA: GRANJA",Causas externas de morbilidad y de mortalidad
13189,Y218,"AHOGAMIENTO Y SUMERSION, DE INTENCION NO DETERMINADA: OTRO LUGAR ESPECIFICADO",Causas externas de morbilidad y de mortalidad
13190,Y219,"AHOGAMIENTO Y SUMERSION, DE INTENCION NO DETERMINADA: LUGAR NO ESPECIFICADO",Causas externas de morbilidad y de mortalidad
13191,Y22,DISPARO DE ARMA CORTA DE INTENCION NO DETERMINADA,Causas externas de morbilidad y de mortalidad
13192,Y220,"DISPARO DE ARMA CORTA, DE INTENCION NO DETERMINADA: VIVIENDA",Causas externas de morbilidad y de mortalidad
13193,Y221,"DISPARO DE ARMA CORTA, DE INTENCION NO DETERMINADA: INSTITUCION RESIDENCIAL",Causas externas de morbilidad y de mortalidad
13194,Y222,"DISPARO DE ARMA CORTA, DE INTENCION NO DETERMINADA: ESCUELAS, OTRAS INSTITUCIONES Y AREAS ADMINISTRATIVAS",Causas externas de morbilidad y de mortalidad
